Device,Associated Device,Power,Zone
AHU-1,,16 HP,ZN-7
AHU-4,,10 HP,ZN-9
F-1,AHU-3,3 HP,ZN-10
AHU-6,,10 HP,ZN-6
AHU-3,,5 HP,ZN-10
F-2,AHU-4,10 HP,ZN-9
F-5,AHU-7,1.5 HP,ZN-5
F-4,AHU-6,5 HP,ZN-6
AHU-7,,3 HP,ZN-5
F-3,, 1/4 HP,
F-6,AHU-8,5 HP,
F-7,AHU-9,1 HP,
F-8,AHU-11,5 HP,
F-9,AHU-14,7.5,
F-10,,.25 HP,
F-11,,130 W,
F-12,,.33 HP,
F-13,,.33 HP,
F-14,,.33 HP,
F-15,,.166 HP,
F-16,,.166 HP,
F-17,,.33 HP,
F-17A,,.5 HP,
F-18,,.166 HP,
F-19,,.25 HP,
F-20,,,
F-21,,10 HP,
F-21A,,10 HP,
F-22,,,
F-23,,.25 HP,
F-23A,,.166 HP,
F-23B,,.166 HP,
F-23C,,.2 HP,
F-23D,,.25 HP,
F-23E,,.25 HP,
F-24,,.125 HP,
F-24A,,.166 HP,
F-24B,,.25 HP,
F-24C,,.166 HP,
F-25,,.166 HP,
F-26,,139 W,
F-26A,,132 W,
F-27,,.25 HP,
F-28,,.33 HP,
F-29,,.25 HP,
F-30,,.25 HP,
F-30A,,.166 HP,
F-31,,.125 HP,
F-32,,.33 HP,
F-32A,,.33 HP,
F-33,,.5 HP,
F-33A,,.5 HP,
F-34,,.5 HP,
F-34A,,.5 HP,
F-34B,,.33 HP,
F-34C,,.33 HP,
F-34D,,.33 HP,
F-34E,,.33 HP,
F-34F,,.166 HP,
F-34G,,.166 HP,
F-34H,,.166 HP,
F-35,,.5 HP,
F-36,,.33 HP,
F-37,,.33 HP,
F-38,,.33 HP,
F-38A,,.33 HP,
F-39,,.166 HP,
F-39A,,.166 HP,
F-39B,,.166 HP,
F-40,,3 HP,
F-41,,.75 HP,
F-42,,.5 HP,
F-43,,.25 HP,
F-44,,.25 HP,
F-45,,.5 HP,
F-46,,.33 HP,
F-47,,.33 HP,
F-47A,,.166 HP,
F-47B,,.5 HP,
F-48,,..33 HP,
F-49,,.5 HP,
F-50,,.5 HP,
F-51,,.125 HP,
F-52,,.166 HP,
F-52A,,.166 HP,
F-53,,.166 HP,
F-54,,.05 HP,
F-55,,.166 HP,
F-56,,.083 HP,
F-57,,.5 HP,
F-58,,.25 HP,
F-59,,.166 HP,
F-60,,.05 HP,
F-61,,.33 HP,
F-62,,.33 HP,
F-63,,81 W,
F-64,,.25 HP,
F-65,,.33 HP,
F-66,,.166 HP,
F-67,,1 HP,
P-1,,25 HP,
P-2,,25 HP,
P-3,,25 HP,
P-4,,.5 HP,
P-5,,.5 HP
P-6,,2 HP,
P-7,,2 HP,
P-8,,5 HP,
P-9,,5 HP,
RTU-1,,20 HP,
RTU-2,,20 HP,
RTU-3,,20 HP,
RTU-4,,20 HP,
RTU-5,,5 HP,
RTU-6,,5 HP,
RTU-7,,3 HP,
RTU-8,,10 HP,
ACCU-1,AHU-3,,
ACCU-2,AHU-4,,
ACCU-3,AHU-10,,
ACCU-4,AHU-6,,
ACCU-5,AHU-7,,
ACCU-6,AHU-8,,
ACCU-7,AHU-9,,



