DeviceObj,Circuit,Location,Debug,Three Phase
AHU-1,MWSB.1.PBA.1,,,X
AHU-4,MWSB.1.PBA.2,,,X
AHU-1,MWSB.1.PBA.3,,,X
AHU-4,MWSB.1.PBA.4,,,X
AHU-1,MWSB.1.PBA.5,,,X
AHU-4,MWSB.1.PBA.6,,,X
F-1,MWSB.1.PBA.7,,,X
AHU-6,MWSB.1.PBA.8,,,X
F-1,MWSB.1.PBA.9,,,X
AHU-6,MWSB.1.PBA.10,,,X
F-1,MWSB.1.PBA.11,,,X
AHU-6,MWSB.1.PBA.12,,,X
AHU-3,MWSB.1.PBA.13,,,X
F-2,MWSB.1.PBA.14,,,X
AHU-3,MWSB.1.PBA.15,,,X
F-2,MWSB.1.PBA.16,,,X
AHU-3,MWSB.1.PBA.17,,,X
F-2,MWSB.1.PBA.18,,,X
F-5,MWSB.1.PBA.19,,,X
F-4,MWSB.1.PBA.20,,,X
F-5,MWSB.1.PBA.21,,,X
F-4,MWSB.1.PBA.22,,,X
F-5,MWSB.1.PBA.23,,,X
F-4,MWSB.1.PBA.24,,,X
AHU-7,MWSB.1.PBA.25,,,X
AHU-7,MWSB.1.PBA.27,,,X
AHU-7,MWSB.1.PBA.29,,,X
ACCU-6,MWSB.4.M1.1,,,
ACCU-3,MWSB.4.M1.2,,,
ACCU-5,MWSB.4.M1.3,,,
ACCU-4,MWSB.4.M1.6,,,
Lights,MWSB.5.DHB.1.L42Csec1.2,4040,,
Lights,MWSB.5.DHB.1.L42Csec1.3,4041,,
Lights,MWSB.5.DHB.1.L42Csec1.3,4042,,
Lights,MWSB.5.DHB.1.L42Csec1.3,4047,,
Lights,MWSB.5.DHB.1.L42Csec1.3,4048,,
Lights,MWSB.5.DHB.1.L42Csec1.3,4051,,
Lights,MWSB.5.DHB.1.L42Csec1.4,4043,,
Lights,MWSB.5.DHB.1.L42Csec1.5,4049,,
Lights,MWSB.5.DHB.1.L42Csec1.6,4050,,
Lights,MWSB.5.DHB.1.L42Csec1.7,4052,,
Lights,MWSB.5.DHB.1.L42Csec1.9,4052A,,
Lights,MWSB.5.DHB.1.L42Csec1.9,4053,,
Lights,MWSB.5.DHB.1.L42Csec1.10,4058,,
Lights,MWSB.5.DHB.1.L42Csec1.11,4060,,
Lights,MWSB.5.DHB.1.L42Csec1.13,4046,,
Lights,MWSB.5.DHB.1.L42Csec1.13,4046A,,
Bathroom,MWSB.5.DHB.1.L42Csec1.14,4055,,
Bathroom,MWSB.5.DHB.1.L42Csec1.14,4056,,
Lights Corr,MWSB.5.DHB.1.L42Csec1.14,,,
Corridor night light,MWSB.5.DHB.1.L42Csec1.15,,,
Lights,MWSB.5.DHB.1.L42Csec1.20,3037,,
Lights,MWSB.5.DHB.1.L42Csec1.22,3037,,
Lights,MWSB.5.DHB.1.L42Csec1.23,3037,,
Lights,MWSB.5.DHB.1.L42Csec1.24,3037,,
Lights,MWSB.5.DHB.1.L42Csec2.25,3037,,
Lights,MWSB.5.DHB.1.L42Csec2.26,3037,,
Lights,MWSB.5.DHB.1.L42Csec2.27,3037,,
Fan F-48,MWSB.5.DHB.1.L42Csec2.29,,,X
Fan F-48,MWSB.5.DHB.1.L42Csec2.31,,,X
AHU-10,MWSB.5.DHB.1.L42Csec2.32,,,X
Fan F-48,MWSB.5.DHB.1.L42Csec2.33,,,X
AHU-10,MWSB.5.DHB.1.L42Csec2.34,,,X
AHU-10,MWSB.5.DHB.1.L42Csec2.36,,,X
Roof fan F-47b,MWSB.5.DHB.1.L42Csec2.44,Roof,,X
Roof fan F-47b,MWSB.5.DHB.1.L42Csec2.46,Roof,,X
Roof fan F-47b,MWSB.5.DHB.1.L42Csec2.48,Roof,,X
Hand Dryer,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.1,4047,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.2,4040,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.3,4040,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.4,4040,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.5,4043,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.6,4043,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.7,4043,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.8,4041,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.9,4041,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.10,4059,,
Outlets corr,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.10,4045,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.11,4042,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.12,4049,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.13,4049,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.14,4049,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.15,4047,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.15,4048,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.16,4051,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.17,4050,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.18,4050,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.19,4050,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.20,4052,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.21,4052,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.21,4052A,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.22,4052,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.23,4052A,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.24,4052A,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.25,4053,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.26,4053,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.27,4053,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.28,4058,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.29,4058,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.30,4058,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.31,4060,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.32,4060,,
Outlets,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.33,4060,,
Roof fan F-64,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.35,,,
Roof fan F-65,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.35,,,
Roof fan F-39,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.37,,,
Roof fan F-39A,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.37,,,
AHU-8 Control Panel,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.37,,,
Electric Water Cooler corr,MWSB.5.DHB.1.L42Csec2.38.T2C.L2C.39,4045,,
Outlets,MWSB.5.DHB.2.T2BA.L2BAsec1.2,4022,,
Outlets,MWSB.5.DHB.2.T2BA.L2BAsec1.3,4022,,
Outlets,MWSB.5.DHB.2.T2BA.L2BAsec1.4,4023,,
Outlets,MWSB.5.DHB.2.T2BA.L2BAsec1.5,4025,,
Outlets,MWSB.5.DHB.2.T2BA.L2BAsec1.6,4026,,
Outlets,MWSB.5.DHB.2.T2BA.L2BAsec1.7,4027,,
Outlets,MWSB.5.DHB.2.T2BA.L2BAsec1.8,4028,,
Outlets,MWSB.5.DHB.2.T2BA.L2BAsec1.9,4029,,
Outlets,MWSB.5.DHB.2.T2BA.L2BAsec1.10,4029,,
telepole,MWSB.5.DHB.2.T2BA.L2BAsec1.11,4016,,
Uni Vent (UV) Room,MWSB.5.DHB.2.T2BA.L2BAsec1.14,377-01,,
UV,MWSB.5.DHB.2.T2BA.L2BAsec1.25,4003,,
UV,MWSB.5.DHB.2.T2BA.L2BAsec1.25,4004,,
UV,MWSB.5.DHB.2.T2BA.L2BAsec1.26,4002,,
UV,MWSB.5.DHB.2.T2BA.L2BAsec1.26,4032,,
UV,MWSB.5.DHB.2.T2BA.L2BAsec1.27,4033,,
UV,MWSB.5.DHB.2.T2BA.L2BAsec1.28,4035,,
UV,MWSB.5.DHB.2.T2BA.L2BAsec1.28,4036,,
UV,MWSB.5.DHB.2.T2BA.L2BAsec1.29,4039,,
UV,MWSB.5.DHB.2.T2BA.L2BAsec1.30,4032,,
Double Oven,MWSB.5.DHB.2.T2BA.L2BAsec2.31,4014,,
Outlets above rm 369,MWSB.5.DHB.2.T2BA.L2BAsec2.32,,,
Double Oven,MWSB.5.DHB.2.T2BA.L2BAsec2.33,4014,,
Dishwasher,MWSB.5.DHB.2.T2BA.L2BAsec2.34,4016,,
Outlets ,MWSB.5.DHB.2.T2BA.L2BAsec2.34,4022,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.35,4014,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.37,4014,,
Clothes Dryer,MWSB.5.DHB.2.T2BA.L2BAsec2.39,4014,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.40,4016,,
Clothes Dryer,MWSB.5.DHB.2.T2BA.L2BAsec2.41,4014,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.42,4016,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.43,4016,,
Wall Oven,MWSB.5.DHB.2.T2BA.L2BAsec2.44,4016,,
Cooktop,MWSB.5.DHB.2.T2BA.L2BAsec2.45,4016,,
Wall Oven,MWSB.5.DHB.2.T2BA.L2BAsec2.46,4016,,
Clothes Dryer,MWSB.5.DHB.2.T2BA.L2BAsec2.47,4016,,
Electric Range,MWSB.5.DHB.2.T2BA.L2BAsec2.48,4016,,
Clothes Dryer,MWSB.5.DHB.2.T2BA.L2BAsec2.49,4016,,
Electric Range,MWSB.5.DHB.2.T2BA.L2BAsec2.50,4016,,
Air Condenser,MWSB.5.DHB.2.T2BA.L2BAsec2.51,4016,,
Electric Range,MWSB.5.DHB.2.T2BA.L2BAsec2.52,4016,,
Air Condenser,MWSB.5.DHB.2.T2BA.L2BAsec2.53,4016,,
Electric Range,MWSB.5.DHB.2.T2BA.L2BAsec2.54,4016,,
Air Condenser,MWSB.5.DHB.2.T2BA.L2BAsec2.56,4033,,
Air Condenser,MWSB.5.DHB.2.T2BA.L2BAsec2.58,4033,,
Handicap door (South),MWSB.5.DHB.3.T1A.L1A.1,3007A,,
Outlets,MWSB.5.DHB.3.T1A.L1A.2,3110,,
Outlets,MWSB.5.DHB.3.T1A.L1A.2,3007,,
Outlets,MWSB.5.DHB.3.T1A.L1A.2,3008,,
Water Cooler,MWSB.5.DHB.3.T1A.L1A.2,3008A,,
Hand dryer,MWSB.5.DHB.3.T1A.L1A.3,3111,,
Outlets,MWSB.5.DHB.3.T1A.L1A.4,3112,,
Outlets,MWSB.5.DHB.3.T1A.L1A.5,3112,,
Outlets,MWSB.5.DHB.3.T1A.L1A.6,3112,,
Outlets,MWSB.5.DHB.3.T1A.L1A.7,3113,,
Outlets,MWSB.5.DHB.3.T1A.L1A.8,3113,,
Outlets,MWSB.5.DHB.3.T1A.L1A.9,3113,,
Outlets,MWSB.5.DHB.3.T1A.L1A.10,3114,,
Outlets,MWSB.5.DHB.3.T1A.L1A.11,3114,,
Outlets,MWSB.5.DHB.3.T1A.L1A.12,3114,,
UV,MWSB.5.DHB.3.T1A.L1A.13,3011,,
UV,MWSB.5.DHB.3.T1A.L1A.14,3008,,
UV,MWSB.5.DHB.3.T1A.L1A.14,3009,,
UV,MWSB.5.DHB.3.T1A.L1A.14,3010,,
UV,MWSB.5.DHB.3.T1A.L1A.15,3113,,
UV,MWSB.5.DHB.3.T1A.L1A.15,3114,,
UV,MWSB.5.DHB.3.T1A.L1A.15,3020,,
UV,MWSB.5.DHB.3.T1A.L1A.15,3025,,
UV,MWSB.5.DHB.3.T1A.L1A.16,3112,,
UV,MWSB.5.DHB.3.T1A.L1A.16,3024,,
Outlets,MWSB.5.DHB.3.T1A.L1A.17,3025,,
UV,MWSB.5.DHB.3.T1A.L1A.18,3009,,
CUH Corr,MWSB.5.DHB.3.T1A.L1A.18,3007,,
Door,MWSB.5.DHB.3.T1A.L1A.18,,,
Outlets,MWSB.5.DHB.3.T1A.L1A.19,3025,,
