Panel - ID,Voltage,Main,Parent Panel,Panel,Closet # (Old),Closet # (New)
P-320,,DL,,L42,,
P-780,120/208,Collin’s Center,HSHLA,HSLA,,
,120/208,Collin’s Center,HSHLA,HSLA2,,
P-640,120/208,DE,DE,PKE,1066A,
P-490,120/208,DG,L4GC,LGCSec1,1007,101-01
P-520,120/208,DG,L4GC,LGCSec2,1044,113-02
P-530,120/208,DG,L4GC,LGCSec3,1044,130-03
P-220,120/208,DHB,DHB,L2BASec2,4031A,368
P-260,120/208,DHB,DHB,L2DA,4067,334
P-690,120/208,DHB,DHB,L1BA,3046,
P-130,120/208,DL,L41,L1,3006,
P-150,120/208,DL,L41B,L1B,3046,263
P-170,120/208,DL,L41D,L1D,3108,236
P-210,120/208,DL,L42B,L2B,4031,368
P-230,120/208,DL,DHB,L2BASec1,4031A,366
P-250,120/208,DL,L42D,L2D,4067,334
P-700,120/208,DL,L4G,LGsec1,1066,
P-710,120/208,DL,L4G,LGsec2,1046A,
P-730,277/480,Collin’s Center,MSWB,Main Dist. Panel (Collin’s),,
P-740,277/480,Collin’s Center,MDP Collin’s,HSHTA,,
P-750,277/480,Collin’s Center,MDP Collin’s,HSHTB,,
P-100,277/480,DE,ATS/MSWB,DE,1045,108
P-400,277/480,DE,LE1,LE1A,1059A,118-01
P-430,277/480,DE,DE,LE2A,3006,
P-440,277/480,DE,LE3A,LE3,4067,334
P-650,277/480,DE,DE,PMESec1,1046,
P-660,277/480,DE,DE,PMESec2,1046,
P-370,277/480,DG,DG,L4G1,2007,L1-01
P-390,277/480,DG,DG,L4GC,1007,
P-600,277/480,DG,DG,P4GSec1,1007,101-01
P-610,277/480,DG,DG,P4GSec2,1007,101-01
P-720,277/480,DG,MSWB,DG,1007,
P-110,277/480,DHB,MSWB,DHB,1068,126
P-330,277/480,DHB,DHB,L42C,4054,
P-120,277/480,DL,MSWB,DL,1068,126
P-270,277/480,DL,DL,L41,3006,216-03
P-280,277/480,DL,DL,L41B,3046,263
P-300,277/480,DL,DL,L41D,3108,238
P-310,277/480,DL,DL,L42B,4031,368
P-340,277/480,DL,DL,L42D,4067,101-01
P-350,277/480,Dl,DL,L4G,1066,118
P-470,277/480,DL,L4GB,LGB,,130-08
P-620,277/480,DL,DL,PK,,130-02
P-550,277/480,M1,MSWB,M1,1068,128
P-560,277/480,MSWB,Padmount,MSWB,1069,127
P-760,277/480?,Collin’s Center,MDP Collin’s,HSHLA,,
P-770,277/480?,Collin’s Center,MDP Collin’s,HSHLB,,
P-410,,DE,LE2A,LE2,3108,238
P-420,,DE,,LE2,3108,238
P-450,,DE,,LE3,,
P-460,,DE,DE,LE3A,4067,334
P-570,,DE,,Old DE,1045,108
P-480,,DG,,LGC (Right),,138-08
P-140,,DHB,DHB,L1A,,216-03
P-180,,DHB,DHB,L1DA,3108,238
P-200,,DHB,DHB,L2A,,
P-240,,DHB,DHB,L2CA,,
P-580,,DHB,DHB,P2,,
P-160,,DL,L41C,L1C,,
P-190,,DL,L42,L2,,
P-290,,DL,DL,L41C,,
P-360,,Dl,,L4G,1066,
P-380,,DL,DL,L4GB,,130-08(LGB)
P-540,,DL,,LGSec2,1046A,130-03
P-590,,DL,L42D,P4D,,
P-630,,DL,P4K,PKA,,
P-500,,,,LGCSec1,1066,130-03
P-510,,,,LGCSec1 - 1,,101-02
P-670,277/480,,,PP-PGA (Left),,130-08
P-680,277/480,,,PP-PGA (Right),,130-08
