Usage statistics from all hours of each day
,Main (kWh),DHB (kWh),M1 (kWh),DG (kWh),DE-ATS (kWh),Collins (kWh),DL (kWh),Main ($),DHB ($),M1 ($),DG ($),DE-ATS ($),Collins ($),DL ($)
2015-07-03,484.0,,,,,,,77.44,,,,,,
2015-07-04,1140.0,,,,,,,182.4,,,,,,
2015-07-05,1005.0,,,,,,,160.8,,,,,,
2015-07-06,2171.0,,,,,,,347.36,,,,,,
2015-07-07,2540.0,,,,,,,406.40000000000003,,,,,,
2015-07-08,2439.0,,,,,,,390.24,,,,,,
2015-07-09,2292.0,,,,,,,366.72,,,,,,
2015-07-10,1965.0,,,,,,,314.40000000000003,,,,,,
2015-07-11,878.0,,,,,,,140.48,,,,,,
2015-07-12,961.0,,,,,,,153.76,,,,,,
2015-07-13,2531.0,,,,,,,404.96000000000004,,,,,,
2015-07-14,2419.0,,,,,,,387.04,,,,,,
2015-07-15,2538.0,,,,,,,406.08,,,,,,
2015-07-16,2464.0,,,,,,,394.24,,,,,,
2015-07-17,2440.0,,,,,,,390.40000000000003,,,,,,
2015-07-18,1719.0,,,,,,,275.04,,,,,,
2015-07-19,1816.0,,,,,,,290.56,,,,,,
2015-07-20,2909.0,,,,,,,465.44,,,,,,
2015-07-21,3014.0,,,,,,,482.24,,,,,,
2015-07-22,2631.0,,,,,,,420.96000000000004,,,,,,
2015-07-23,2962.0,,,,,,,473.92,,,,,,
2015-07-24,2323.0,,,,,,,371.68,,,,,,
2015-07-25,1470.0,,,,,,,235.20000000000002,,,,,,
2015-07-26,940.0,,,,,,,150.4,,,,,,
2015-07-27,2672.0,,,,,,,427.52,,,,,,
2015-07-28,2965.0,,,,,,,474.40000000000003,,,,,,
2015-07-29,2824.0,,,,,,,451.84000000000003,,,,,,
2015-07-30,2781.0,,,,,,,444.96000000000004,,,,,,
2015-07-31,2672.0,,,,,,,427.52,,,,,,
2015-08-01,1444.0,,,,,,,231.04,,,,,,
2015-08-02,1407.0,,,,,,,225.12,,,,,,
2015-08-03,4120.0,,,,,,,659.2,,,,,,
2015-08-04,4128.0,85.0309,97.44480000000004,154.49360000000001,59.625,27.782699999999977,112.49080000000004,660.48,13.604944000000001,15.591168000000007,24.718976,9.540000000000001,4.445231999999996,17.998528000000007
2015-08-05,2936.0,278.3098,364.21939999999995,939.8220000000001,415.72979999999995,155.8836,681.009,469.76,44.529568,58.27510399999999,150.37152000000003,66.516768,24.941376,108.96144000000001
2015-08-06,2282.0,279.347,194.94100000000003,712.0589999999997,373.115,218.7138,502.078,365.12,44.695519999999995,31.190560000000005,113.92943999999996,59.6984,34.994208,80.33248
2015-08-07,1533.0,173.51299999999992,207.37400000000002,247.6319999999996,364.19799999999987,181.69999999999982,382.75099999999975,245.28,27.762079999999987,33.179840000000006,39.62111999999994,58.27167999999998,29.07199999999997,61.24015999999996
2015-08-08,963.0,108.30199999999991,0.42000000000007276,170.9449999999997,308.9190000000003,155.51700000000005,237.2479999999996,154.08,17.328319999999987,0.06720000000001164,27.351199999999952,49.427040000000055,24.88272000000001,37.959679999999935
2015-08-09,872.0,107.75200000000018,0.34699999999998,89.61499999999978,301.90099999999984,143.99900000000002,245.89900000000034,139.52,17.24032000000003,0.0555199999999968,14.338399999999965,48.304159999999975,23.039840000000005,39.34384000000006
2015-08-10,1363.0,149.1880000000001,248.03300000000013,112.78299999999945,324.9520000000002,212.68399999999997,347.0550000000003,218.08,23.870080000000016,39.68528000000002,18.045279999999913,51.992320000000035,34.029439999999994,55.52880000000005
2015-08-11,1908.0,218.8340000000003,181.84500000000003,348.0470000000005,389.5749999999998,178.95299999999997,509.71000000000004,305.28000000000003,35.013440000000045,29.095200000000006,55.68752000000008,62.33199999999997,28.632479999999997,81.5536
2015-08-12,2070.0,232.3380000000002,267.40800000000013,168.58299999999963,377.2640000000001,274.9210000000003,642.3029999999999,331.2,37.17408000000003,42.78528000000002,26.973279999999942,60.36224000000002,43.987360000000045,102.76847999999998
2015-08-13,2199.0,253.30999999999995,204.17000000000007,372.17199999999957,370.6379999999999,592.328,386.41199999999935,351.84000000000003,40.529599999999995,32.667200000000015,59.547519999999935,59.30207999999999,94.77248,61.8259199999999
2015-08-14,2139.0,286.1139999999996,259.44500000000016,114.88600000000042,379.59299999999985,794.3490000000002,346.96500000000015,342.24,45.77823999999993,41.511200000000024,18.381760000000067,60.734879999999976,127.09584000000002,55.51440000000002
2015-08-15,1576.0,102.55299999999988,0.28900000000021464,121.3819999999996,335.15900000000056,809.6589999999997,233.75600000000122,252.16,16.408479999999983,0.046240000000034344,19.421119999999938,53.62544000000009,129.54543999999996,37.4009600000002
2015-08-16,1566.0,103.75900000000001,0.8590000000003783,118.56900000000132,331.3289999999997,796.0700000000006,243.07500000000073,250.56,16.601440000000004,0.13744000000006054,18.97104000000021,53.012639999999955,127.3712000000001,38.89200000000012
2015-08-17,2369.0,217.34900000000016,308.97800000000007,354.98199999999997,361.9480000000003,738.3509999999987,399.3739999999998,379.04,34.775840000000024,49.43648000000001,56.79712,57.911680000000054,118.1361599999998,63.89983999999997
2015-08-18,2073.0,133.51299999999992,313.1090000000004,165.3760000000002,380.0690000000013,536.6700000000001,553.6499999999996,331.68,21.362079999999988,50.09744000000006,26.460160000000034,60.81104000000021,85.86720000000001,88.58399999999995
2015-08-19,1659.0,134.7390000000005,302.1999999999998,157.4310000000005,434.9500000000007,153.25,505.6700000000001,265.44,21.55824000000008,48.351999999999975,25.18896000000008,69.59200000000011,24.52,80.90720000000002
2015-08-20,2577.0,225.48199999999997,745.6129999999998,190.5,433.46000000000095,344.6100000000006,561.5900000000001,412.32,36.077119999999994,119.29807999999997,30.48,69.35360000000016,55.13760000000009,89.85440000000003
2015-08-21,2701.0,121.52999999999975,693.2779999999993,193.07999999999993,425.46000000000095,435.9899999999998,689.039999999999,432.16,19.444799999999958,110.9244799999999,30.89279999999999,68.07360000000016,69.75839999999997,110.24639999999985
2015-08-22,994.0,122.35499999999956,0.3170000000000073,137.7599999999984,340.4200000000001,128.21000000000095,284.0199999999986,159.04,19.57679999999993,0.05072000000000117,22.041599999999743,54.46720000000001,20.513600000000153,45.44319999999978
2015-08-23,1383.0,101.48099999999977,224.28200000000015,154.1999999999989,345.6999999999989,220.02000000000044,296.72000000000116,221.28,16.236959999999964,35.88512000000002,24.671999999999827,55.31199999999983,35.20320000000007,47.475200000000186
2015-08-24,2391.0,155.34799999999996,474.9899999999998,357.3399999999983,396.75,195.60000000000036,703.5599999999995,382.56,24.855679999999992,75.99839999999996,57.174399999999736,63.480000000000004,31.29600000000006,112.56959999999992
2015-08-25,2909.0,213.5039999999999,478.2629999999999,355.5,423.7300000000014,538.5,752.4900000000016,465.44,34.16063999999999,76.52207999999999,56.88,67.79680000000022,86.16,120.39840000000027
2015-08-26,3012.0,209.7579999999998,277.03399999999965,285.6200000000008,537.5699999999997,867.6299999999992,811.5399999999972,481.92,33.56127999999997,44.32543999999994,45.699200000000125,86.01119999999996,138.82079999999988,129.84639999999956
2015-08-27,2110.0,238.51199999999972,189.23899999999958,264.09000000000015,413.619999999999,511.1299999999974,533.6599999999999,337.6,38.16191999999995,30.278239999999933,42.254400000000025,66.17919999999984,81.78079999999959,85.38559999999998
2015-08-28,2038.0,186.8140000000003,172.91100000000006,444.8899999999994,386.0799999999981,396.8600000000006,454.27999999999884,326.08,29.89024000000005,27.66576000000001,71.1823999999999,61.7727999999997,63.4976000000001,72.68479999999981
2015-08-29,1134.0,104.90599999999904,0.2989999999990687,159.22000000000116,323.65999999999985,283.7999999999993,286.0099999999984,181.44,16.784959999999845,0.04783999999985099,25.475200000000186,51.78559999999998,45.40799999999989,45.761599999999746
2015-08-30,936.0,104.8130000000001,0.31999999999970896,125.10000000000036,332.47000000000116,117.46000000000276,276.7199999999975,149.76,16.770080000000018,0.051199999999953436,20.01600000000006,53.195200000000185,18.793600000000442,44.27519999999961
2015-08-31,3780.0,294.21200000000135,444.8240000000005,583.6599999999999,549.6799999999967,994.9699999999975,891.6599999999999,604.8000000000001,47.073920000000214,71.17184000000009,93.38559999999998,87.94879999999947,159.1951999999996,142.66559999999998
2015-09-01,4350.0,444.2429999999986,601.2489999999998,976.5,569.4000000000015,583.6699999999983,1082.9500000000007,696.0,71.07887999999977,96.19983999999997,156.24,91.10400000000024,93.38719999999972,173.27200000000013
2015-09-02,4754.0,521.0639999999985,659.5190000000002,1094.4399999999987,578.0200000000004,449.25,1363.2799999999988,760.64,83.37023999999975,105.52304000000004,175.1103999999998,92.48320000000007,71.88,218.12479999999982
